"Component","Version","License","IncludedAs","Source"
"R","4.6.1","GPL-2.0-or-later OR GPL-3.0-or-later (with exceptions/components under other licenses)","Windows installer and local runtime","https://cran.r-project.org/bin/windows/base/"
"AsioHeaders","1.30.2-1","BSL-1.0","Offline binary package","https://cran.r-project.org/package=AsioHeaders"
"base","4.6.1","Part of R 4.6.1","R base package","https://www.r-project.org/"
"bitops","1.0-9","GPL (>= 2)","Offline binary package","https://cran.r-project.org/package=bitops"
"boot","1.3-32","Unlimited","R recommended package/runtime component","https://cran.r-project.org/package=boot"
"callr","3.8.0","MIT + file LICENSE","Offline binary package","https://cran.r-project.org/package=callr"
"cellranger","1.1.0","MIT + file LICENSE","Offline binary package","https://cran.r-project.org/package=cellranger"
"chromote","0.5.1","MIT + file LICENSE","Offline binary package","https://cran.r-project.org/package=chromote"
"class","7.3-23","GPL-2 | GPL-3","R recommended package/runtime component","https://cran.r-project.org/package=class"
"cli","3.6.6","MIT + file LICENSE","Offline binary package","https://cran.r-project.org/package=cli"
"cluster","2.1.8.2","GPL (>= 2)","R recommended package/runtime component","https://cran.r-project.org/package=cluster"
"codetools","0.2-20","GPL","R recommended package/runtime component","https://cran.r-project.org/package=codetools"
"compiler","4.6.1","Part of R 4.6.1","R base package","https://www.r-project.org/"
"cpp11","0.5.5","MIT + file LICENSE","Offline binary package","https://cran.r-project.org/package=cpp11"
"crayon","1.5.3","MIT + file LICENSE","Offline binary package","https://cran.r-project.org/package=crayon"
"curl","7.1.0","MIT + file LICENSE","Offline binary package","https://cran.r-project.org/package=curl"
"data.table","1.18.4","MPL-2.0 | file LICENSE","Offline binary package","https://cran.r-project.org/package=data.table"
"datasets","4.6.1","Part of R 4.6.1","R base package","https://www.r-project.org/"
"digest","0.6.39","GPL (>= 2)","Offline binary package","https://cran.r-project.org/package=digest"
"fastmap","1.2.0","MIT + file LICENSE","Offline binary package","https://cran.r-project.org/package=fastmap"
"foreign","0.8-91","GPL (>= 2)","R recommended package/runtime component","https://cran.r-project.org/package=foreign"
"GGIRread","1.0.8","Apache License (== 2.0)","Offline binary package","https://cran.r-project.org/package=GGIRread"
"glue","1.8.1","MIT + file LICENSE","Offline binary package","https://cran.r-project.org/package=glue"
"graphics","4.6.1","Part of R 4.6.1","R base package","https://www.r-project.org/"
"grDevices","4.6.1","Part of R 4.6.1","R base package","https://www.r-project.org/"
"grid","4.6.1","Part of R 4.6.1","R base package","https://www.r-project.org/"
"hms","1.1.4","MIT + file LICENSE","Offline binary package","https://cran.r-project.org/package=hms"
"jsonlite","2.0.0","MIT + file LICENSE","Offline binary package","https://cran.r-project.org/package=jsonlite"
"KernSmooth","2.23-26","Unlimited","R recommended package/runtime component","https://cran.r-project.org/package=KernSmooth"
"later","1.4.8","MIT + file LICENSE","Offline binary package","https://cran.r-project.org/package=later"
"lattice","0.22-9","GPL (>= 2)","R recommended package/runtime component","https://cran.r-project.org/package=lattice"
"lifecycle","1.0.5","MIT + file LICENSE","Offline binary package","https://cran.r-project.org/package=lifecycle"
"magrittr","2.0.5","MIT + file LICENSE","Offline binary package","https://cran.r-project.org/package=magrittr"
"MASS","7.3-65","GPL-2 | GPL-3","R recommended package/runtime component","https://cran.r-project.org/package=MASS"
"matlab","1.0.4.1","Artistic-2.0","Offline binary package","https://cran.r-project.org/package=matlab"
"Matrix","1.7-5","GPL (>= 2) | file LICENCE","R recommended package/runtime component","https://cran.r-project.org/package=Matrix"
"methods","4.6.1","Part of R 4.6.1","R base package","https://www.r-project.org/"
"mgcv","1.9-4","GPL (>= 2)","R recommended package/runtime component","https://cran.r-project.org/package=mgcv"
"nlme","3.1-169","GPL (>= 2)","R recommended package/runtime component","https://cran.r-project.org/package=nlme"
"nnet","7.3-20","GPL-2 | GPL-3","R recommended package/runtime component","https://cran.r-project.org/package=nnet"
"openxlsx","4.2.8.1","MIT + file LICENSE","Offline binary package","https://cran.r-project.org/package=openxlsx"
"otel","0.2.0","MIT + file LICENSE","Offline binary package","https://cran.r-project.org/package=otel"
"parallel","4.6.1","Part of R 4.6.1","R base package","https://www.r-project.org/"
"pillar","1.11.1","MIT + file LICENSE","Offline binary package","https://cran.r-project.org/package=pillar"
"pkgconfig","2.0.3","MIT + file LICENSE","Offline binary package","https://cran.r-project.org/package=pkgconfig"
"prettyunits","1.2.0","MIT + file LICENSE","Offline binary package","https://cran.r-project.org/package=prettyunits"
"processx","3.9.0","MIT + file LICENSE","Offline binary package","https://cran.r-project.org/package=processx"
"progress","1.2.3","MIT + file LICENSE","Offline binary package","https://cran.r-project.org/package=progress"
"promises","1.5.0","MIT + file LICENSE","Offline binary package","https://cran.r-project.org/package=promises"
"ps","1.9.3","MIT + file LICENSE","Offline binary package","https://cran.r-project.org/package=ps"
"R6","2.6.1","MIT + file LICENSE","Offline binary package","https://cran.r-project.org/package=R6"
"Rcpp","1.1.1-1.1","GPL (>= 2)","Offline binary package","https://cran.r-project.org/package=Rcpp"
"readxl","1.5.0","MIT + file LICENSE","Offline binary package","https://cran.r-project.org/package=readxl"
"rematch","2.0.0","MIT + file LICENSE","Offline binary package","https://cran.r-project.org/package=rematch"
"rlang","1.2.0","MIT + file LICENSE","Offline binary package","https://cran.r-project.org/package=rlang"
"rpart","4.1.27","GPL-2 | GPL-3","R recommended package/runtime component","https://cran.r-project.org/package=rpart"
"spatial","7.3-18","GPL-2 | GPL-3","R recommended package/runtime component","https://cran.r-project.org/package=spatial"
"splines","4.6.1","Part of R 4.6.1","R base package","https://www.r-project.org/"
"stats","4.6.1","Part of R 4.6.1","R base package","https://www.r-project.org/"
"stats4","4.6.1","Part of R 4.6.1","R base package","https://www.r-project.org/"
"stringi","1.8.7","file LICENSE","Offline binary package","https://cran.r-project.org/package=stringi"
"survival","3.8-6","LGPL (>= 2)","R recommended package/runtime component","https://cran.r-project.org/package=survival"
"tcltk","4.6.1","Part of R 4.6.1","R base package","https://www.r-project.org/"
"tibble","3.3.1","MIT + file LICENSE","Offline binary package","https://cran.r-project.org/package=tibble"
"tools","4.6.1","Part of R 4.6.1","R base package","https://www.r-project.org/"
"utf8","1.2.6","Apache License (== 2.0) | file LICENSE","Offline binary package","https://cran.r-project.org/package=utf8"
"utils","4.6.1","Part of R 4.6.1","R base package","https://www.r-project.org/"
"vctrs","0.7.3","MIT + file LICENSE","Offline binary package","https://cran.r-project.org/package=vctrs"
"webshot2","0.1.2","MIT + file LICENSE","Offline binary package","https://cran.r-project.org/package=webshot2"
"websocket","1.4.4","GPL-2","Offline binary package","https://cran.r-project.org/package=websocket"
"withr","3.0.3","MIT + file LICENSE","Offline binary package","https://cran.r-project.org/package=withr"
"zip","3.0.0","MIT + file LICENSE","Offline binary package","https://cran.r-project.org/package=zip"
